wavelength_nm,VIP_Cab_ugcm2,VIP_N_relativo,VIP_H2O_relativo,VIP_Efic_fotosin,VIP_Biomasa_rel,VIP_Estres_car
861.26,0.6670365438065673,0.734182234434913,1.0160823124453404,1.3337633789395484,1.203258548717849,0.982334387590383
866.28,0.6663872175797931,0.7335726203659737,1.0085567288325796,1.3338984405342926,1.2032358392701443,0.982790111613938
871.29,0.6661357538980647,0.733206904131673,1.00186894878689,1.3344616171459838,1.2016912425300126,0.9833542712942025
876.3,0.6660194285096698,0.7330662857053654,0.9950466244665556,1.3347183600360228,1.2002102733507314,0.9835580527981015
881.32,0.6655733657987349,0.7326828102852329,0.9870900909101754,1.3348734141904057,1.198651939701853,0.983639801696886
886.33,0.6651043927238621,0.7320251220442748,0.9800086549519886,1.3360411546101103,1.1969439419879064,0.9845306811994999
891.34,0.6651428578548239,0.7313658782936749,0.9748040715255801,1.3396335401483865,1.1934323243445522,0.9867938673385938
896.36,0.664551519292627,0.729912948381718,0.9706734570827457,1.3449194459344727,1.1918616853033672,0.9903063593976859
901.37,0.6635870105935294,0.7281086530645924,0.9654063744919696,1.3496824914666148,1.1902550992056196,0.993822319843668
906.38,0.6644862798549357,0.7285467502185214,0.9602777365175447,1.3512733486953405,1.1857562723042459,0.9945186468825412
911.4,0.663168009597211,0.7269280617176267,0.9518664274298528,1.3540339090473532,1.1845616316473224,0.9964493920364343
916.41,0.6624342742826844,0.7263994442593957,0.9411258813204842,1.3541510302549022,1.1814377807162275,0.996025669483747
921.42,0.6620287111800388,0.7264553409404781,0.9258995212843185,1.352558694639757,1.1754180046937166,0.9940784137335588
926.44,0.660241852699164,0.7244266116732211,0.9077765701396805,1.356569061499824,1.1677206226315593,0.9957109719538008
931.45,0.6531957755039282,0.7155565753449968,0.8837679894313849,1.3729026306184664,1.1646648903974215,1.0073034300757369
936.46,0.6447333891993121,0.7069718784310984,0.8423644041555353,1.3853516896009637,1.1554645098545586,1.0150260550775034
941.48,0.6490468529940324,0.7121846091400142,0.8192089789779539,1.3818494766706166,1.1344301275813018,1.008838475916781
946.49,0.6465233724267364,0.7126020248859093,0.7865400545559497,1.3769702300275435,1.1273133027173652,1.0030458010066905
951.5,0.6477167986687191,0.7180853110142024,0.7505302028123122,1.366163386758537,1.1119196022346856,0.9906068948147284
