id_lote,u_blue_445,u_red_670,u_rededge_705,u_rededge_750,u_nir_900,u_wbi_970,u_swir_1240,u_swir_1750,u_swir_2000,u_swir_2200,unc_visible_mean,unc_rededge_mean,unc_nir_mean,unc_swir_mean,su_rededge_proxy,su_swir_proxy,uncertainty_score,uncertainty_class
A24,0.0018010614439845085,0.0006474668043665588,0.0013485520612448454,0.0023979339748620987,0.001958016771823168,0.0022999881766736507,0.0016735941171646118,0.002319950144737959,0.0008540921844542027,0.0010974409524351358,0.0012242641241755337,0.002022145393614968,0.0021290024742484093,0.0012083757513513167,69.2347241780295,92.35501913089638,0.0016344668091430017,BAJO
A25,0.0018405704759061337,0.0006744727143086493,0.001386513700708747,0.0024680362548679113,0.002021100139245391,0.002374847885221243,0.0017280949978157878,0.0024131331592798233,0.0008750772103667259,0.0011498279636725783,0.0012575215951073915,0.0020892277049521604,0.002197974012233317,0.0012510000572850306,68.8181155016538,92.45655969792611,0.001687730134775241,BAJO
A26,0.0018681972287595272,0.000664534221868962,0.0014545777812600136,0.002580491825938225,0.0020991708151996136,0.0024605458602309227,0.0017781694186851382,0.002390545094385743,0.0008801845833659172,0.001120676868595183,0.0012663657253142446,0.0021418715671946606,0.002279858337715268,0.0012596769568820794,69.67639359389004,92.39440013858173,0.0017228100313028938,BAJO
A27,0.0018550739623606205,0.000695546274073422,0.0014947769232094288,0.00252945302054286,0.0020530391484498978,0.002411517547443509,0.0017497993540018797,0.0024448244366794825,0.0008830979350022972,0.0011727175442501903,0.0012753101182170212,0.0021563514601439238,0.0022322783479467034,0.0012685382777514558,70.96280277879185,92.6345861904075,0.0017251882702112198,BAJO
A28,0.001806719577871263,0.0005963051808066666,0.0013559366343542933,0.002554353093728423,0.002087704138830304,0.0024426975287497044,0.0017555871745571494,0.002225677017122507,0.0008548322948627174,0.000999171519652009,0.0012015123793389648,0.002045322248401741,0.0022652008337900043,0.001203196996357292,69.03837364389712,92.23187750098465,0.0016569044867840903,BAJO
A29,0.0018000389682129025,0.00063689099624753,0.001301778363995254,0.002347437897697091,0.0019359580473974347,0.0022767989430576563,0.0016444082139059901,0.002203887328505516,0.0008457222138531506,0.0010334972757846117,0.0012184649822302163,0.0019510345300659537,0.0021063784952275455,0.0011745425678479175,68.0990147415933,92.42541910621551,0.001594874626607634,BAJO
A30,0.0017699404852464795,0.0006112447590567172,0.001267412444576621,0.00240050395950675,0.0019818146247416735,0.002323162741959095,0.0016714349621906877,0.0021567533258348703,0.0008498880197294056,0.000989900203421712,0.0011905926221515983,0.0019415565766394138,0.0021524886833503842,0.0011704077284472685,69.27329408488558,92.3206551323732,0.0015916589472908527,BAJO
A31,0.0015580024337396026,0.0005520176491700113,0.0008672095718793571,0.0016977553023025393,0.001475637429393828,0.0017232642276212573,0.001231964211910963,0.0015484874602407217,0.0006949816015549004,0.0007223691791296005,0.001055010041454807,0.0013711507781408727,0.0015994508285075426,0.0008831049975318214,59.66044619165897,90.54449816352013,0.0011957539041759445,ALTO
A32,0.0015530805103480816,0.0005822030361741781,0.0009167118114419281,0.0016790684312582016,0.0014524608850479126,0.0017038396326825023,0.0012281754752621055,0.001625468023121357,0.0007076922338455915,0.0007792615215294063,0.0010676417732611299,0.001407082755273829,0.0015781502588652074,0.0009050430768790344,63.14851000877188,90.97774788336099,0.0012142427808915575,ALTO
A33,0.0016025934601202607,0.0005576765397563577,0.0009947348153218627,0.001906769466586411,0.0016290711937472224,0.001907162368297577,0.0013722034636884928,0.0017614765092730522,0.0007389313541352749,0.0008139574783854187,0.0010801349999383092,0.0015543269303937752,0.0017681167810223997,0.0009750307654030621,64.57165167102028,91.4847170266861,0.0013177681723997618,MEDIO
A34,0.0015669575659558177,0.0005559518467634916,0.0009159984765574336,0.0017501915572211146,0.0015161876799538732,0.0017840054351836443,0.0012880876893177629,0.0016985457623377442,0.0007149092270992696,0.0007922533550299704,0.0010614547063596547,0.0014549119320387642,0.0016500965575687587,0.0009317500904823343,62.296473695523765,91.37515364107014,0.0012485496282655124,ALTO
A35,0.0017551621422171593,0.0006155048031359911,0.001534753479063511,0.0024222019128501415,0.0019515816820785403,0.002298715990036726,0.00167192448861897,0.0023448311258107424,0.0008468665182590485,0.0011182554299011827,0.0011853334726765752,0.0021005955059081316,0.002125148836057633,0.0012123488122597337,74.73105717928381,93.16513995201555,0.0016547520906897261,BAJO
