id_lote,Cab_CIre_ugcm2,Cab_NDRE_ugcm2,Cab_est_ugcm2,N_foliar_rel,H2O_foliar_rel,Efic_fotosint_rel,Biomasa_rel,Estres_car_rel,Cab_cls,N_cls,H2O_cls,Efic_cls,Bio_cls,Estres_cls,PC1,PC2,PC3,PC4,PC5,n_px,NDRE_cv,WBI_cv,REIP_cv,hetero_score,REIP_range,re_slope_max,re_slope_wl_nm,uncertainty_score,subzone_critica_pct,score_mean,anomaly_score,anomaly_class,anomaly_flags
A42,28.279544377326964,21.92597925662994,25.10276181697845,27.0,64.9,17.4,76.8,91.3,BAJO,BAJO,BAJO,BAJO,BAJO,ALTO,18.848303,-1.4576024,8.325401,-0.019992562,-1.9315528,2245,3.88,1.29,0.04,1.74,0.64,0.012770690618762497,725.96,0.001648471277439967,100.0,0.3599,0.8908165144495066,NORMAL,"clorofila_muy_baja, N_bajo, subzona_critica_extensa, incertidumbre_alta"
A43,34.25038769245148,23.644674253463744,28.94753097295761,37.2,54.4,15.0,78.0,97.3,MEDIO,MEDIO,BAJO,BAJO,BAJO,ALTO,0.42312136,-3.6545677,8.997773,-1.5431738,-0.22071183,2542,1.3,0.69,0.03,0.67,0.56,0.011003872255489044,725.96,0.0014257131590663145,91.86,0.4227,1.0433493131068978,NORMAL,agua_baja
A44,39.71750671863556,24.798929905891416,32.25821831226349,47.1,59.7,12.6,79.0,98.9,MEDIO,MEDIO,BAJO,BAJO,MEDIO,ALTO,-3.0384157,-4.95062,9.677843,-1.819919,1.0941213,3621,3.02,0.86,0.09,1.32,1.52,0.01094893413173655,725.96,0.0013879180653020738,43.83,0.5329,0.9747625054163757,NORMAL,agua_baja
A45,63.75202884674072,26.791273045539857,45.27165094614029,90.2,87.0,17.8,74.4,93.6,ALTO,ALTO,ALTO,BAJO,BAJO,ALTO,-21.360474,0.50993615,8.08079,0.74209285,-0.5152441,3693,4.51,1.23,0.11,1.95,1.51,0.010103893675928875,735.98,0.0011656672140816227,1.73,0.9027,1.405675418829667,ATIPICO,sin_alerta_mayor
A46,36.722393131256105,24.83638900518417,30.779391068220136,39.6,75.9,6.0,88.0,97.7,MEDIO,MEDIO,ALTO,BAJO,ALTO,ALTO,3.6880598,-11.843376,8.609383,0.98454577,-0.18793914,1749,2.65,0.47,0.06,1.06,1.12,0.01325765069860282,725.96,0.0015398069963945696,4.69,0.5719,1.0823945782323579,NORMAL,sin_alerta_mayor
A47,30.12264983654022,22.81692910194397,26.46978946924209,30.0,68.3,9.4,80.7,96.4,BAJO,BAJO,MEDIO,BAJO,MEDIO,ALTO,15.286469,-4.380153,10.030622,-0.51559377,-0.82940656,1516,1.54,0.35,0.02,0.64,0.42,0.012929782435129763,725.96,0.0016105254685195784,99.54,0.4189,1.0485583070773852,NORMAL,sin_alerta_mayor
A48,27.760085105896,21.884075915813444,24.82208051085472,25.5,55.9,19.4,75.0,91.2,BAJO,BAJO,BAJO,BAJO,BAJO,ALTO,21.315918,5.3342996,6.2537265,-5.055384,-0.024712883,1574,2.06,0.52,0.04,0.87,0.63,0.011883632734530959,725.96,0.001596712944835114,100.0,0.3104,1.0206619188322559,NORMAL,"clorofila_muy_baja, N_bajo, agua_baja, subzona_critica_extensa"
A49,28.46031103134156,22.11401546001434,25.287163245677952,27.0,61.5,14.4,75.3,92.7,BAJO,BAJO,BAJO,BAJO,BAJO,ALTO,21.053284,1.4283776,8.9389925,-2.2267475,-0.29105288,1182,2.46,0.73,0.05,1.08,0.89,0.012585369261477072,725.96,0.0016331835805128017,99.75,0.3497,0.9739767573796518,NORMAL,N_bajo
A50,41.5172012090683,25.628893733024597,33.57304747104644,50.3,66.3,5.1,81.8,98.3,MEDIO,MEDIO,MEDIO,BAJO,MEDIO,ALTO,12.578606,-5.159312,9.913233,-3.5227458,2.5198252,2437,2.24,0.91,0.03,1.06,0.58,0.012816720558882264,725.96,0.0015519526631881794,3.9,0.6071,1.0052951763684568,NORMAL,sin_alerta_mayor
A51,43.49711608886719,26.216095173358912,34.85660563111305,52.8,71.5,-0.0,86.9,100.0,ALTO,MEDIO,MEDIO,BAJO,MEDIO,ALTO,10.713187,-9.714539,9.874215,-2.307621,2.529946,1446,1.34,0.43,0.03,0.6,0.39,0.013321006986027967,725.96,0.001565768439710761,1.04,0.6633,1.2200655190737817,NORMAL,sin_alerta_mayor
A52,44.50253324508667,24.868897426128388,34.685715335607526,56.4,67.3,13.0,73.5,97.1,MEDIO,MEDIO,MEDIO,BAJO,BAJO,ALTO,-0.18787351,-0.102978416,11.154771,-1.6449894,1.0742599,2604,4.7,1.3,0.2,2.07,2.79,0.010918423153692632,730.97,0.0013805088131145261,12.98,0.6088,1.2489926141742715,NORMAL,sin_alerta_mayor
A53,57.05222523212432,25.44570829868317,41.24896676540374,85.3,75.7,31.5,70.1,82.4,ALTO,ALTO,ALTO,MEDIO,BAJO,MEDIO,-20.306623,4.4155416,2.859537,-0.14859825,-1.0616664,3768,1.08,0.7,0.08,0.62,1.32,0.008714229561492409,735.98,0.0011534464370924979,0.24,0.7876,1.1815316048303286,NORMAL,sin_alerta_mayor
