id_lote,d1_680.89,d1_685.89,d1_690.90,d1_695.91,d1_700.91,d1_705.92,d1_710.93,d1_715.94,d1_720.95,d1_725.96,d1_730.97,d1_735.98,d1_740.98,d1_745.99,d1_751.00,d1_756.02
A53,0.0004556181999999999,0.000612751667131671,0.0009567205588822377,0.001486414846436997,0.0021960211084384694,0.002858137824351303,0.0035273123752494594,0.004822827844311352,0.006340786427145721,0.007671589820359294,0.008405783433133746,0.008714229561492409,0.008183857737707401,0.006316251497006001,0.004458198225602963,0.003626960159362555
A54,0.00046842380000000004,0.000696989222800753,0.0014855505988023974,0.003021310983595249,0.005119866121072547,0.007038919960079853,0.008424073852295317,0.010549375249500932,0.012332061876247524,0.012856235528942137,0.012204301397205613,0.011207914635783398,0.009468277027882298,0.006576147704590828,0.004469604429421549,0.0035805976095617783
A55,0.0005243856000000001,0.0006968680221686502,0.0010944272455089838,0.001779362325592572,0.0026689758059246166,0.0034564570858283497,0.004307773652694559,0.005981438123752465,0.007885085828343328,0.009546113772455105,0.01043903493013974,0.01085038160227,0.0105278418665566,0.008385549900199622,0.0058812338817972945,0.004739304780876502
A56,0.000531009,0.0007258676254065302,0.0011623774451097826,0.0018584128272505947,0.002750740559398688,0.003546116367265476,0.004401935129740467,0.006122506986027912,0.008084549900199616,0.00983572854291419,0.010857341317365286,0.011413961818237665,0.011280433669739447,0.009135213572854309,0.006431890461528887,0.005192589641434282
A57,0.0004799078000000002,0.000686559623426076,0.0011560132734530961,0.0018825294995040893,0.002807217087365332,0.0035920427145708644,0.004379814870259429,0.0059431372255488715,0.0075600888223553014,0.008759231536926164,0.00915692215568864,0.009132463037872313,0.008304021020807538,0.006180778443113783,0.004320031774482765,0.0034927729083665416
A58,0.00045742039999999986,0.0006277815554114553,0.0010120489021956107,0.001569663548080663,0.0022800147737013503,0.0029839780439121807,0.003660770958083791,0.004960102794411151,0.006565465069860292,0.007920243512974065,0.008716063872255505,0.009117651647729524,0.008492796462994091,0.006485713572854306,0.004582678672545332,0.003744990039840652
A59,0.0007380405999999993,0.0009748232379209625,0.0016285603792415208,0.0025939885101724644,0.003608034643679677,0.004454092415169669,0.005225539920159622,0.0065729055888223125,0.00792253293413175,0.008524486027944131,0.008297994011976062,0.007725641263391304,0.00636076063503762,0.004326536926147713,0.0029430752528024073,0.002363758964143436
A60,0.0006071823999999997,0.000886968998232108,0.0019518384231536966,0.003959464099423931,0.00636222521056828,0.008309929540918179,0.009602342315369161,0.011490648702594728,0.013000241516966087,0.013030156686626774,0.011949037924151723,0.010628518310615544,0.008679513223885896,0.005932109780439128,0.003969141236975671,0.0031590039840637654
A61,0.0010652116000000004,0.0015438999659254937,0.002640317564870265,0.0037213990934853586,0.004444449695577879,0.004867313373253503,0.005005736526946063,0.005380186626746462,0.006069501996007993,0.006173591816367275,0.0058394790419161804,0.005357830721055397,0.004281097075459466,0.002979702594810389,0.0020594368173124586,0.0016950099601593716
A62,0.0009196317999999995,0.0013365824822518814,0.0023323485029940177,0.0033691636879719117,0.004244655262265881,0.004962750099800408,0.005361732035928091,0.006035250499001953,0.007140747504990032,0.007595058882235547,0.007429024950099811,0.007021630357550646,0.005726744604581051,0.004029687624750498,0.0028397835890385387,0.002366842629482084
A63,0.0005804169999999997,0.0008177333592894139,0.0017918879241517003,0.0036288565567462504,0.005852372162896591,0.007786060479041931,0.009024481037924059,0.010735065868263402,0.012375255489021977,0.012658941117764493,0.011968642714570883,0.01101654051219441,0.009090167484024955,0.0063071027944111915,0.004271234413196878,0.003426334661354594
A64,0.0004469573999999997,0.0006168013709990617,0.00108096526946108,0.0017840012937972217,0.0026454567046538323,0.003520227245508989,0.004351485029940068,0.005834119261477013,0.007760768463073865,0.009334646706586845,0.01022691117764473,0.010667464085758568,0.009846127737476097,0.007524321357285438,0.005358901429249968,0.004422902390438272
A65,0.0005534784000000001,0.000838735081043508,0.0014567559880239549,0.0021942852768225803,0.0028815467179762375,0.0032321800399201664,0.0033235888223552583,0.0035804281437125437,0.0036725858283433183,0.0034766287425149773,0.0031058522954091894,0.002738449699155142,0.0023021694125754458,0.0016350888223552948,0.001161499253601022,0.0009694322709163376
A66,0.0004814611999999996,0.0007688520913441852,0.0017834746506986058,0.003557261708554522,0.005707915047231817,0.007662903692614783,0.008853676646706497,0.01037453892215562,0.01205578243512976,0.012369842315369282,0.011758104790419187,0.010756485047547282,0.008552263121768447,0.005840054890219576,0.004071188753787799,0.0033843446215139532
